tour_id,tour_name,id,jersey_no,name,short_name,position_id,position,position_short,team_id,team_name,team_short_name,is_started,is_onbench,is_goalkeeper,is_substitute,minutes_played,bonus_points,injury_minutes_played,actual_minutes_played,goaltenders,events.goals,events.own_goals,events.assists,events.key_passes,events.chances_created,events.shots,events.shots_on_target,events.shots_off_target,events.fouls_committed,events.fouls_suffered,events.yellow_cards,events.red_cards,events.is_second_yellow_card,events.offsides,events.corner_kicks,events.crosses,events.free_kicks,events.throw_in,events.punches,events.catches,events.goals_conceded,events.clean_sheet,events.cleansheet,events.fantasy_assists,events.penalties_saved,events.penalties_earned,events.penalties_conceded,events.penalties_missed,events.freekicks_conceded_goal,events.freekicks_earned_goal,events.blocked_shots,events.defensive_blocked_shots,events.penalty_kicks.total,events.penalty_kicks.goals,touches.total,touches.total_passes,touches.good_passes,touches.bad_passes,touches.interceptions,touches.blocks,touches.tackles,touches.successful_tackles,touches.unsuccessful_tackles,touches.clearance,touches.saves,touches.take_on_total,touches.take_on_successful,touches.take_on_unsuccessful,touches.last_man_tackle_successful,touches.last_man_tackle_unsuccessful,touches.successful_passes,touches.interceptions_won,touches.aerial_duel.total,touches.aerial_duel.won,touches.aerial_duel.lost,touches.ground_duel.total,touches.ground_duel.won,touches.ground_duel.lost,goaltenders.shots_faced,goaltenders.shots_on_goal_faced,goaltenders.goals_allowed,goaltenders.saves,goaltenders.catches,goaltenders.punches,goaltenders.penalty_kicks.shots_faced,goaltenders.penalty_kicks.goals_allowed,goaltenders.penalty_kicks.saves,country_id,country_name,dob,player_foot,height
148,ISL6,1514,3,Asamoah Gyan,Asamoah Gyan,2,Forward,FWD,504,NorthEast United FC,NEUFC,8,4,0,4,592,0,21,613,0,4,0,1,9,10,18,9,9,9,18,2,0,0,6,0,2,2,0,0,0,6,0,2,1,0,0,0,0,0,0,0,0,1,1,252,175,90,85,5,3,5,2,3,11,0,3,0,2,0,0,0,0,36,22,14,1,1,0,0,0,0,0,0,0,0,0,0,43,Ghana,,,
148,ISL6,2475,26,Deshorn Dwayne Brown,Deshorn Brown,2,Forward,FWD,656,Bengaluru FC,BFC,6,7,0,7,379,0,6,385,0,3,0,0,3,3,19,8,10,7,5,2,0,0,3,0,3,0,0,0,0,2,0,5,0,0,0,0,0,0,0,1,0,0,0,135,91,49,42,1,2,8,5,3,4,0,17,8,4,0,0,0,0,10,1,9,0,0,0,0,0,0,0,0,0,0,0,0,56,Jamaica,12/22/1990,Right,187
148,ISL6,2900,9,Amine Chermiti,Amine Chermiti,2,Forward,FWD,506,Mumbai City FC,MCFC,16,6,0,5,1352,0,47,1415,0,6,0,0,16,16,22,10,11,31,26,4,0,0,20,0,13,3,0,0,0,11,0,3,0,0,0,0,0,0,0,1,0,0,0,391,291,162,129,6,6,26,5,21,15,0,14,0,3,0,0,0,0,22,10,12,0,0,0,0,0,0,0,0,0,0,0,0,106,Tunisia,12/26/1987,left,177
148,ISL6,3753,7,Francisco Medina Luna,Piti,3,Midfielder,MF,1159,Jamshedpur FC,JFC,6,5,0,5,416,0,0,421,0,1,0,2,7,9,16,7,6,6,19,1,0,0,0,14,10,22,0,0,0,2,0,0,3,0,0,0,0,0,0,3,0,1,1,247,207,133,74,5,5,9,4,5,0,0,19,11,4,0,0,0,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,19,Spain,5/26/1981,left,179
148,ISL6,3809,4,Rafael Lopez Gomez,Rafael Lopez Gomez,1,Defender,DEF,1536,Hyderabad FC,HFC,6,5,0,4,395,0,21,410,0,0,0,0,3,3,2,0,2,6,6,0,0,0,0,0,0,4,3,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,217,141,111,30,8,11,30,7,23,16,0,17,2,0,0,0,0,0,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,19,Spain,4/9/1985,right,183
148,ISL6,3982,30,Anas Edathodika,Anas Edathodika,1,Defender,DEF,499,ATK FC,ATK,7,5,0,4,534,0,31,577,0,0,0,0,0,0,0,0,0,9,4,2,0,0,0,0,2,4,33,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,277,151,102,49,11,12,18,7,11,51,0,14,1,0,0,0,0,0,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,India,2/15/1987,Right,181
148,ISL6,3984,17,Dhanpal Ganesh,Dhanpal Ganesh,3,Midfielder,MF,505,Chennaiyin FC,CFC,5,8,0,2,398,0,11,414,0,0,0,0,2,2,4,0,4,7,5,1,0,0,0,0,0,2,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,200,150,114,36,8,5,11,4,7,9,0,9,0,0,0,0,0,0,14,11,3,0,0,0,0,0,0,0,0,0,0,0,0,1,India,6/13/1994,Right,185
148,ISL6,3985,18,Thongkhosiem Haokip,Semboi  Haokip,2,Forward,FWD,656,Bengaluru FC,BFC,1,5,0,14,250,0,68,320,0,1,0,0,0,0,7,2,4,5,10,0,0,0,1,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,1,0,0,0,109,76,40,36,2,1,5,2,3,1,0,7,0,0,0,0,0,0,15,4,11,0,0,0,0,0,0,0,0,0,0,0,0,1,India,0000-00-00,,0
148,ISL6,3989,13,Lalrempuia Fanai,Lalrempuia Fanai,3,Midfielder,MF,504,NorthEast United FC,NEUFC,1,2,0,1,58,0,0,58,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,40,35,29,6,1,1,2,0,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,India,5/11/1996,Right,172
148,ISL6,3997,1,Amrinder Ranjit Singh,Amrinder Singh,4,Goalkeeper,GK,506,Mumbai City FC,MCFC,18,0,18,0,1620,0,89,1725,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,62,0,24,34,18,0,2,0,0,0,0,0,0,0,0,0,0,0,601,261,167,94,0,0,0,0,0,55,49,26,0,0,0,0,0,0,1,1,0,0,0,0,165,69,29,42,30,0,3,3,0,1,India,5/27/1993,Right,183
148,ISL6,3999,24,Salam Ranjan Singh,Salam Singh,1,Defender,DEF,499,ATK FC,ATKFC,4,8,0,1,339,0,17,356,0,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0,2,1,11,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,183,105,76,29,5,6,14,9,5,43,0,15,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,India,12/4/1995,Right,188
148,ISL6,5030,3,Albert Serran Polo,Albert Serran,1,Defender,DEF,656,Bengaluru FC,BFC,16,2,0,3,1367,0,73,1450,0,1,0,0,1,1,3,1,2,12,19,3,0,0,0,0,0,9,1,0,0,11,0,6,0,0,0,0,0,0,0,0,0,0,0,631,435,361,74,15,15,35,15,20,118,0,46,2,0,0,0,0,0,10,8,2,0,0,0,0,0,0,0,0,0,0,0,0,19,Spain,7/17/1984,Right,183
148,ISL6,5041,5,Diawandou Diagne,Diawandou Diagne,3,Midfielder,MF,1499,Odisha FC,OFC,8,9,0,4,763,0,34,804,0,0,0,1,4,5,6,0,5,6,11,1,0,0,0,0,2,6,4,0,0,9,0,2,1,0,0,0,0,0,0,1,0,0,0,495,379,325,54,12,12,22,9,13,53,0,26,1,1,0,0,0,0,6,1,5,0,0,0,0,0,0,0,0,0,0,0,0,57,Senegal,7/28/1994,right,175
148,ISL6,5171,23,Carlos Javier Delgado,Carlos Delgado,1,Defender,DEF,1499,Odisha FC,OFC,15,2,0,2,1371,0,61,1442,0,1,0,0,1,1,6,4,1,14,10,4,1,0,1,0,1,7,4,0,0,20,0,2,1,0,0,0,0,0,0,1,0,0,0,837,635,549,86,13,15,36,12,24,112,0,38,2,0,0,0,0,0,17,12,5,0,0,0,0,0,0,0,0,0,0,0,0,19,Spain,4/22/1990,left,181
148,ISL6,5191,14,Dimas Delgado Morgado,Dimas Delgado,3,Midfielder,MF,656,Bengaluru FC,BFC,20,1,0,1,1762,0,85,1865,0,1,0,5,32,40,22,2,12,20,43,3,0,0,1,91,36,97,7,0,0,12,0,8,6,0,0,0,0,0,0,8,0,0,0,1389,1188,903,285,33,12,79,24,55,35,0,84,6,7,0,0,0,0,12,6,6,4,3,1,0,0,0,0,0,0,0,0,0,19,Spain,2/6/1983,right,178
148,ISL6,5196,5,Juan Antonio Gonzalez Fernandez,Juanan,1,Defender,DEF,656,Bengaluru FC,BFC,19,0,0,0,1710,0,75,1809,0,1,0,0,5,5,16,7,6,16,9,5,0,0,1,0,3,8,2,0,0,12,0,7,2,0,0,0,0,0,0,3,0,0,0,725,495,394,101,15,23,24,9,15,138,0,52,0,0,0,0,0,0,12,7,5,0,0,0,0,0,0,0,0,0,0,0,0,19,Spain,4/27/1987,left,192
